sample	cell	cluster	PC1	PC2	PC3
WTC11C28_cell43	WTC11	6	-29.189938279724448	-3.300004952672278	1.8366872754514254
WTC11C28_cell44	WTC11	6	-26.121612572724594	-16.517025596556625	8.296383954060863
WTC11C28_cell45	WTC11	6	-27.425313300998624	-15.989359029257493	5.237531201509255
WTC11C28_cell46	WTC11	6	-33.57864168186487	-4.608090641244516	1.9199979187664837
WTC11C28_cell47	WTC11	0	-19.02050658091984	-15.505010757834617	3.2812696818628715
WTC11C28_cell48	WTC11	4	-69.7641212662547	62.686568118026436	-4.156362863704699
WTC11C28_cell49	WTC11	6	-39.16524807757182	-0.08467419819255638	1.152820703267341
WTC11C28_cell50	WTC11	4	-83.88376561480322	90.22512062025832	-9.068484998402804
WTC11C28_cell51	WTC11	0	-21.199141882062683	-20.463722051481486	2.8820989710489218
WTC11C28_cell52	WTC11	6	-24.770471667880656	-10.912494291226098	7.703852367960802
WTC11C28_cell53	WTC11	4	-56.91183309192088	55.56783771373457	-2.1434900347411023
WTC11C28_cell54	WTC11	6	-29.41342645189409	-17.26140110995506	6.767955204888565
WTC11C28_cell55	WTC11	6	-37.249533777261455	3.0035202804222907	4.27947129146257
WTC11C28_cell56	WTC11	6	-39.007156210425	6.164834055388449	-1.2654950643957994
WTC11C28_cell57	WTC11	6	-32.71307403647606	-4.94048550300083	3.0997759626940553
WTC11C28_cell58	WTC11	6	-37.68183042042924	-4.170243534985029	5.314159272096164
WTC11C28_cell59	WTC11	6	-36.41589983225656	-25.872862264066647	6.463990720141173
WTC11C28_cell60	WTC11	6	-29.731972348167446	-0.7194227764078428	-3.160767259654342
WTC11C28_cell61	WTC11	2	-41.84977985448704	11.672769947852938	2.4044212322084415
WTC11C28_cell62	WTC11	6	-33.68084573153232	-10.254876847533051	0.6159857575799182
WTC11C28_cell63	WTC11	0	-24.339881315967514	-15.793329903501002	-0.8903697557870559
WTC11C28_cell64	WTC11	6	-24.480601651308177	-9.222728948883994	3.9749806556670557
WTC11C28_cell65	WTC11	6	-35.2828731623057	6.657033498443842	-5.1538015013082115
WTC11C28_cell66	WTC11	2	-41.244724524100015	-4.965952387526251	3.9104209860461916
WTC11C28_cell67	WTC11	6	-37.8039857898296	-6.285465758481426	5.407952769452274
WTC11C28_cell68	WTC11	6	-30.399692684549628	-18.45504407930244	7.14019560570828
WTC11C28_cell69	WTC11	6	-33.966943955096596	-10.828445404275595	3.695990562282385
WTC11C28_cell70	WTC11	4	-61.640912936155146	56.86854006182359	-4.0763237244521315
WTC11C28_cell71	WTC11	6	-28.140440425704625	-8.673227517854551	1.9476578144083188
WTC11C28_cell72	WTC11	6	-37.885023030631764	-13.421118239386171	6.536815612861218
WTC11C28_cell73	WTC11	4	-51.593735497715	36.63381960754421	-3.1426821043870805
WTC11C28_cell74	WTC11	2	-45.20075196289596	8.011691367707888	-2.13522711903479
WTC11C28_cell75	WTC11	2	-41.95946634840398	-7.409478544476887	0.7085009897374731
WTC11C28_cell76	WTC11	0	-22.720394665159944	-17.350720708270913	7.595776915530226
WTC11C28_cell77	WTC11	4	-89.37076174537592	89.47872877806104	-10.146302929421184
WTC11C28_cell78	WTC11	2	-44.48263725405275	29.23385131427609	2.681973082749613
WTC11C28_cell79	WTC11	2	-43.93325705490653	3.1127234083985207	5.115008839818387
WTC11C28_cell80	WTC11	6	-29.423112160130668	-4.911771972524713	-0.8377594742069547
WTC11C28_cell81	WTC11	2	-41.37820737797958	-3.1047418378269636	0.8492613213406373
WTC11C28_cell82	WTC11	6	-40.45729584632648	-10.21480040575449	1.4995778480755604
WTC11C28_cell83	WTC11	6	-23.494690650536263	5.552542057252456	3.957748201368018
WTC11C28_cell84	WTC11	6	-21.505488271600377	3.40642128405286	3.352820128098921
WTC11C28_cell85	WTC11	6	-36.240435208901246	-7.599334430127812	-0.013178618698361337
WTC11C28_cell86	WTC11	2	-46.12905925262864	2.1829372601748203	2.7783825410826437
WTC11C28_cell87	WTC11	0	-26.777835733216676	-25.872088138222463	3.5701710825768584
WTC11C28_cell88	WTC11	6	-26.737737449471915	-2.825832161366524	7.372883054626606
WTC11C28_cell89	WTC11	4	-72.87349566310091	77.41578211795435	-6.306409764447842
WTC11C28_cell90	WTC11	6	-35.086436102797244	-6.032541852769781	0.41740378313915566
WTC11C28_cell91	WTC11	6	-39.00699988996946	-1.9932630339504527	3.0707845824915245
WTC11C28_cell92	WTC11	6	-39.54986388537517	-10.719753570242595	-2.339367025082196
WTC11C28_cell93	WTC11	6	-30.526446506103905	-11.684136099607752	5.427228164081652
WTC11C28_cell94	WTC11	6	-34.65114830938782	-3.984968940805368	2.6611410382827536
RP01	MCF7	8	66.34189202470608	-11.937216420458638	-32.745240883400115
RP02	MCF7	8	46.39552091045217	-10.988012949305293	-44.282475104433246
RP03	MCF7	8	65.35617640978411	-16.10699947063551	-43.28742330779848
RP04	MCF7	8	56.31250162138525	-22.730879147055916	-40.73998730195737
RP05	MCF7	8	71.6124417524009	-8.280139028954098	-43.620369981058005
RP06	MCF7	8	58.33144203204922	-11.530293529034807	-50.05412490743368
RP07	MCF7	8	73.45867565026738	-3.3849120286441523	-49.955809057260986
RP08	MCF7	8	76.37830448537501	-8.7210988619631	-30.485852451765748
RP09	MCF7	8	66.95209800792463	-3.4273199016169116	-42.95213298233263
RP10	MCF7	8	56.08833565173065	0.1594328479837689	-32.51955214023316
RP11	MCF7	8	65.60786740503048	-18.129385997874227	-39.61234711414255
RP12	MCF7	8	82.71866857446116	-5.021611957300444	-33.07204159116987
RP13	MCF7	8	53.00262797386909	-10.879119663728604	-39.88929831791465
RP14	MCF7	5	98.36409586585238	4.949262136844125	22.255045290680016
RP15	MCF7	8	68.24619388889505	-6.019869131574893	-53.64219123852736
RP16	MCF7	8	55.1148837941509	-12.977395555282193	-43.1709184286729
SA01	MCF7	3	64.29832769170746	6.019597160921085	-8.393035392404045
SA02	MCF7	3	62.22853706897128	1.0572962111047108	-14.819780556105883
SA03	MCF7	3	59.67323274294239	10.352296276497329	-37.36598347807276
SA04	MCF7	1	30.297466009705808	5.537907931716341	-29.900072750613337
SA05	MCF7	5	79.89779876085628	6.493462902135756	25.966507835922265
SA06	MCF7	5	84.94044090068452	14.62552557946957	22.870455079090604
SA07	MCF7	7	104.33838827908394	14.8533474639033	53.84805144555875
SA08	MCF7	7	66.55036342852124	24.579143476317107	34.56946850783853
SA09	MCF7	3	58.24993505942118	2.2372923258553374	-2.5895268991268487
SB01	MCF7	5	94.30555839034989	14.16153815569202	3.4757396348560685
SB02	MCF7	3	61.54352449152246	6.882178935197765	-18.813295789895434
SB03	MCF7	1	24.063975507967843	19.612014407921823	-36.79073600575374
SB04	MCF7	3	41.942169598375465	6.144386306600043	-34.616343754462285
SB05	MCF7	1	43.20279325363426	9.241060652694882	5.5033647341014555
SB06	MCF7	1	51.49129458286744	9.0910438389091	-2.2426516394151395
SB07	MCF7	7	80.17070876374802	14.570199834053824	47.371561160064346
SB08	MCF7	7	53.024740362727144	15.075567845383823	26.995204422347275
SB09	MCF7	3	62.49894013898513	0.7920895743733763	-7.327234879868606
SC01	MCF7	5	80.59281600333792	25.19502867146641	-3.075867320501624
SC02	MCF7	3	77.01875409478696	10.004346213830875	-13.307441414970162
SC03	MCF7	3	66.11416072352955	16.319742126725057	-39.63953273675362
SC04	MCF7	1	36.27632003206569	11.403202547685426	-41.354623607050954
SC05	MCF7	5	79.24019535058682	9.861618206825275	18.223775030254206
SC06	MCF7	1	42.65101287884652	5.248605844438402	2.2322711631897056
SC07	MCF7	7	65.36375540309201	15.940007005635126	39.559837637721415
SC08	MCF7	7	84.05970568874683	26.467355092391255	55.94493708989042
SC09	MCF7	3	79.41045218960544	6.210849133534426	4.0478976263507676
SD01	MCF7	3	64.355633811274	11.731787314097712	-15.758961981419104
SD02	MCF7	1	44.97689448848337	12.10826471031488	-9.362017791362046
SD03	MCF7	3	59.441219944944336	8.441913776216488	-36.41240917723137
SD04	MCF7	8	50.64040618242498	7.373656930349412	-53.550799834328686
SD05	MCF7	1	38.66018415343762	7.94782780510033	-15.96682013054115
SD06	MCF7	5	72.93058171646206	17.497152367450877	13.6226334909546
SD07	MCF7	7	82.44935451618485	16.783324658570848	52.87766178674927
SD08	MCF7	7	70.98746950502179	-2.143712165012489	47.512689645109695
SD09	MCF7	3	50.573695005946774	-0.5000754821677812	-8.67547686074171
SE01	MCF7	3	78.35271758120427	12.65634724362607	-15.602969761598377
SE02	MCF7	1	27.269528592004185	10.986037008375632	-21.231794784439835
SE03	MCF7	8	65.59038444904353	5.401549840541377	-46.38402308129048
SE04	MCF7	3	72.740813651732	13.60716006259196	-35.82395886360505
SE05	MCF7	5	80.6849819107396	4.588938062474036	14.124659962105955
SE06	MCF7	1	57.77082334766952	8.024211556434796	4.885964206124408
SE07	MCF7	7	95.04530294700791	22.17514854409052	53.2942714482285
SE08	MCF7	7	98.35760930388297	24.735012975845613	69.00420606357592
SE09	MCF7	3	48.77690620507384	2.9015709070748734	-12.397002401702407
SF01	MCF7	1	32.251718236828864	11.16238188959634	-16.605568853113017
SF02	MCF7	3	74.20217237748713	12.896029783459124	-9.450618201425542
SF03	MCF7	8	60.39896216592106	3.946347351243668	-46.14861321625964
SF04	MCF7	3	59.318828938153	7.79807815704885	-30.93273972892446
SF05	MCF7	5	84.87181241251476	9.445608089659009	30.068447191479528
SF06	MCF7	5	61.863506045736	13.131484581912007	18.672224539920716
SF07	MCF7	7	66.83409068162031	38.0304030231102	36.01636745623472
SF08	MCF7	7	101.87891140623597	21.983571300985624	74.92440491395462
SF09	MCF7	3	75.47282744949494	4.628245447928763	-2.098414030559313
SG01	MCF7	1	38.00133252639656	11.343114877488988	-14.661860111293676
SG02	MCF7	3	57.87679403890596	3.643906538200235	-19.941310786592926
SG03	MCF7	3	54.17885586180964	13.274630552642206	-35.86361822031361
SG04	MCF7	3	79.64981439183411	14.488894980755605	-20.32777791635687
SG05	MCF7	5	74.50499849074033	9.050407629087575	13.057145401961867
SG06	MCF7	5	94.58768254562625	10.310928981664558	33.1244078478024
SG07	MCF7	7	79.63658765617001	21.308609628799548	57.706064562613925
SG08	MCF7	7	87.26827330940014	25.73730274821675	39.67189584094779
SG09	MCF7	3	76.15727245487749	-0.19903922105674313	6.416874911959221
SH01	MCF7	3	67.15804590662675	7.031479892455754	-12.284212534187333
SH02	MCF7	3	61.20655445475074	7.842268853420346	-14.837317310859031
SH03	MCF7	3	63.90646011708371	19.34959524912813	-38.626047616975555
SH04	MCF7	5	98.69217063488408	7.713098931796826	17.331709002941718
SH05	MCF7	5	64.86128282782099	12.582024355019014	14.68764653047296
SH06	MCF7	5	92.79589658906661	16.360709313340625	23.85195522676223
SH07	MCF7	7	70.40919056708947	11.778519638071796	37.30601745902166
SH08	MCF7	7	80.85158609054841	13.305291345573426	51.2126308811723
SH09	MCF7	3	54.81709831388331	5.507438994432027	-19.327171286899063
SH12	MCF7	3	67.89541845942092	-2.8854330423492045	0.7442553919577454
